celeb_id,name,source_file,n_blocks,full_chars,selected_chars,selected_rank,selected_text
21,易烊千玺,1_data/ChineseStimuli/CelebrityText/易烊千玺.txt,63,10506,265,3,2005年，首登电视荧屏。2009年，加入飞炫少年组合 ，后于20年退出 。2013年，以TFBOYS组合成员的身份正式出道 。2018年，作为特邀嘉宾出席第60届格莱美奖颁奖典礼；同年担任真人秀节目《这！就是街舞》的队长并带领其战队获得总冠军 ；随后发行首张迷你音乐专辑《我乐意沉默释放内心焰火》。2019年，主演首部电影《少年的你》并获得广泛认可，凭该片相继获第39届香港电影金像奖“最佳新演员奖”、第35届大众电影百花奖“最佳新人奖”等多个奖项 ，并首度提名香港电影金像奖和中国电影金鸡奖“最佳男主角奖” ；同年发行音乐专辑《温差感》 。
22,杨幂,1_data/ChineseStimuli/CelebrityText/杨幂.txt,83,11151,493,3,1990年，4岁的杨幂因参演电视剧《唐明皇》而以童星的身份正式出道 。2006年，在金庸武侠剧《神雕侠侣》中饰演郭襄一角而崭露头角。2009年，主演的仙侠剧《仙剑奇侠传三》播出，使她成为众多网络票选中最受欢迎的明星 。2011年，凭穿越剧《宫锁心玉》赢得广泛关注，并获第17届上海电视节白玉兰奖观众票选最具人气女演员奖 。2012年，成立工作室，并凭都市剧《北京爱情故事》获多项荣誉 。2015年，主演的《小时代》系列电影票房突破18亿人民币 。2017年，主演的神话剧《三生三世十里桃花》获颇高关注；并凭科幻片《逆时营救》获休斯顿国际电影节最佳女主角奖 。2018年，凭古装片《绣春刀Ⅱ：修罗战场》获北京大学生电影节最受大学生欢迎女演员奖 ；随后，获第五届中国电视好演员奖绿宝石女演员奖。2021年，首次参加央视春节联欢晚会 。2023年，杨幂宣布与嘉行传媒解约 。2024年，参加央视春节联欢晚会，与苏有朋等人表演节目《鼓舞龙腾》、与黄轩等人合唱歌曲《让幸福飞起来》 ；同年，主演的电视剧《狐妖小红娘·月红篇》播出 。2025年，主演的剧情片《酱园弄·悬案》上映 ；7月，特别出演的电影《长安的荔枝》上映 。
23,杨紫,1_data/ChineseStimuli/CelebrityText/杨紫.txt,59,8658,584,3,2002年，因出演古装历史情感剧《孝庄秘史》开始崭露头角。2004年，凭青春校园喜剧片《女生日记》被提名第12届中国电影童牛奖优秀儿童演员奖； 随后，因主演情景喜剧《家有儿女》的夏雪被观众熟知。 2012年，凭惊悚悬疑片《守株人》获第14届中国电影表演艺术学会金凤凰奖新人奖。 2013年，主演偶像剧《花非花雾非雾》。2014年，主演近代革命史诗剧《战长沙》。 2016年，凭主演的都市职场女性剧《欢乐颂》提名第29届中国电视金鹰奖观众喜爱的女演员奖、第23届上海电视节白玉兰奖最佳女配角奖； 同年，被南都娱乐周刊评为“90后四小花旦”之一。 2017年，主演的传奇清装剧《龙珠传奇之无间道》播出。 2018年，主演的古装神话剧《香蜜沉沉烬如霜》取得了全国同时段电视剧收视冠军。 2019年，主演的青春励志言情剧《亲爱的，热爱的》获得颇高关注， 凭该剧获第26届华鼎奖中国当代题材电视剧最佳女演员奖；同年，参演的消防题材电影《烈火英雄》在全国上映，凭该片获第16届广州大学生电影节最受大学生欢迎女配角奖。 2022年，主演的电视剧《余生，请多指教》《沉香如屑》相继播出。 2023年，主演的电视剧《长相思》播出 ，并凭该剧提名第29届上海电视节白玉兰奖最佳女主角 。2024年，主演的电视剧《要久久爱》《承欢记》播出 。2025年，主演的电视剧《国色芳华》播出 ；6月，再度主演的《锦绣芳华》播出 。
24,杨颖,1_data/ChineseStimuli/CelebrityText/杨颖.txt,64,8901,246,3,2003年，以时尚模特身份出道，并因此逐渐在香港崭露头角。2007年，将工作重心转向大银幕。2011年，在爱情片《夏日乐悠悠》中首次担任电影女主角。2013年，被《南都娱乐周刊》评为新“四小花旦”之一。此后，开始凭借真人秀《奔跑吧兄弟》赢得广泛关注 。2017年，主演的古装剧《孤芳不自赏》取得全国同时段电视剧收视冠军 。2019年，首次参加央视春晚 。2023年，主演的剧集《暮色心约》《尘缘》相继播出。2025年1月20日，领衔主演的电视剧《相思令》播出； 2月4日，参演的网剧《漫影寻踪》播出。
25,林更新,1_data/ChineseStimuli/CelebrityText/林更新.txt,44,3956,492,3,2011年林更新在他人生第一部戏《步步惊心》中出演十四阿哥，成为人气高企的80后偶像，凭借该剧获得第6届腾讯星光大典-年度影视新人奖、2011年度搜狐电视剧盛典-年度最佳新演员、第一届爱奇艺盛典-最具人气男演员奖。2012年，林更新陆续演了电视剧《轩辕剑之天之痕》《姐姐立正向前走》等，逐渐崭露头角。2013年林更新凭借动作片《狄仁杰之神都龙王》获得第33届香港电影金像奖最佳新演员提名，次年又凭爱情电影《同桌的你》获得第9届华语青年影像论坛-年度新锐男演员奖。2014年10月-2017年期间，《痞子英雄之黎明升起》、谍战动作片《智取威虎山》、武侠片《三少爷的剑》和魔幻喜剧片《西游伏妖篇》等多部电影也陆续在全国上映，其中2017年12月，凭借励志古装电视剧《楚乔传》获得了第11届腾讯星光大赏最具人气电视剧男演员。2018年，林更新再次搭档赵又廷出演的电影《狄仁杰之四大天王》于7月上映。2020年至2022年，林更新的现代剧《最初的相遇，最后的别离》《我的砍价女王》以及都市清甜喜剧《请叫我总监》等陆续播出。2024年3月18日，与赵丽颖二次合作主演的东方神话剧《与凤行》播出。
26,王一博,1_data/ChineseStimuli/CelebrityText/王一博.txt,44,6020,374,3,2014年，以UNIQ组合成员身份正式出道 。2015年，主演青春励志电影《梦想合伙人》 。2016年，随组合凭借歌曲《EOEO》获得美国International-K Music Awards最佳编舞奖 ；同年，正式成为综艺节目《天天向上》的“天天兄弟”成员；领衔主演喜剧电视剧《人间至味是清欢》 。2018年，担任竞演类真人秀节目《创造101》舞蹈导师 。2019年，主演的仙侠古装剧《陈情令》播出 ；同年，发行个人音乐单曲《无感》 。2020年，主演电视剧《有翡》 ；同年，凭借电视剧《陪你到世界之巅》获得第30届中国电视金鹰奖观众喜爱的男演员奖 。2021年，主演的古装悬疑电视剧《风起洛阳》播出 。2022年，主演的刑侦剧《冰雨火》播出 。2023年，凭借电影《无名》《长空之王》获得第20届电影频道传媒关注单元最受传媒关注男主角奖 ；同年，主演的电影《热烈》上映 。
27,王菲,1_data/ChineseStimuli/CelebrityText/王菲.txt,73,8731,302,3,1989年，发行个人首张音乐专辑《王靖雯》并在中国香港正式出道 。1992年，凭借音乐专辑《Coming Home》获得广泛关注 ，其中的歌曲《容易受伤的女人》亦广为传唱 。1993年，在粤语专辑《十万个为什么？》 中开始探索更多元的音乐 。1994年，发行被视为其标志性作品的音乐专辑《迷》《天空》 ，并获得十大劲歌金曲“最受欢迎女歌星奖”、叱咤乐坛流行榜“叱咤乐坛女歌手奖（金奖）”等奖项 ；同年，在红馆举办的18场“最精彩演唱会”打破香港地区歌手初次演唱会最多场次的纪录 。1995年，发行粤语专辑《Di-Dar》后便不再推出粤语专辑 。1996年，凭借音乐专辑《浮躁》在国际获得关注，并因此登上美国《时代》杂志封面 。
28,罗翔,1_data/ChineseStimuli/CelebrityText/罗翔.txt,132,6110,344,2,1995年，罗翔考入中国青年政治学院攻读法律专业 。1999年，本科毕业后继续攻读中国政法大学研究生院刑法学硕士。2002年至2005年期间，博士就读于北京大学法学院，毕业获得刑法学博士学位 。2005年，进入中国政法大学执教 。2007年，作为带队老师带一批学生去加拿大蒙特利尔大学交流 。2013年至2014年期间，在美国杜克大学做访问学者 。2014年，罗翔停了下来，辞去了关于法考培训的大部分事务，想要“退出”江湖 。2017年，入职“厚大法考” 。2020年3月9日，应邀入驻bilibili，两天粉丝超过百万，半年粉丝量突破千万 。2021年8月，参与中央广播电视总台文化类综艺节目《朗读者第三季》 。2022年5月，加盟B站《夏日毕业歌会》 。2024年4月26日，罗翔受聘为山东大学兼职教授 。
29,苏炳添,1_data/ChineseStimuli/CelebrityText/苏炳添.txt,93,11550,151,1,苏炳添，男，汉族，1989年8月29日出生于广东省中山市古镇镇古一村 ，广府人 ，国际级运动健将 ，中国男子短跑运动员。暨南大学体育学院院长、党委副书记、体育部主任 、教授 、硕士研究生导师 。暨南大学2017届国际经济与贸易专业硕士研究生、北京体育大学体能训练学院博士研究生 。男子60米、100米亚洲纪录保持者 。
30,范冰冰,1_data/ChineseStimuli/CelebrityText/范冰冰.txt,75,8477,285,3,1996年，出演电视剧《女强人》。1998年，主演电视剧《还珠格格》获得广泛关注。2002年，主演电影《一见钟情》涉足影坛。2004年，凭借冯小刚执导的电影《手机》获得第27届大众电影百花奖最佳女主角。2005年，发行首张个人专辑《刚刚开始》。2007年，凭借电影《心中有鬼》获得第44届台湾电影金马奖最佳女配角；同年，主演的电影《苹果》入围第57届柏林国际电影节主竞赛单元，获得第4届欧亚国际电影节最佳女演员。2010年，主演李玉执导的电影《观音山》获得第23届东京国际电影节最佳女演员，该片亦获东京国际电影节最佳艺术贡献奖。2011年担任第24届东京国际电影节评委。
