label,moderator,level,k_re,n,secs,converged,singular,logLik,AIC,semXfam,semXfam_se,semXfam_z,semXfam_p,semXfam_raw,visXfam,visXfam_se,visXfam_z,visXfam_p,visXfam_raw,fam_sd,lrt_chisq,lrt_df,lrt_p,mod
arm_cn_critical,arm,L4,12,260428,81.7927625179291,True,False,-451199.918854574,902437.837709149,0.00642604832651,0.0118602288986657,0.541814865582649,0.587946049570994,0.00642604832651,0.0008841280502431,0.0105190863713636,0.084049889793665,0.933016765746025,0.0008841280502431,1.0,143.556911941152,11.0,3.07488573988064e-25,arm
arm_cn_critical,arm,L5,8,260428,58.1395063400269,True,False,-451627.537548979,903285.075097958,0.0009795118940366,0.0115756775520057,0.0846181046108082,0.932565005292679,0.0009795118940366,0.0015216626922014,0.0104907738134963,0.145047707562221,0.884673204856783,0.0015216626922014,1.0,855.23738880991,4.0,8.31058834007917e-184,arm
arm_cn_critical,arm,L6,3,260428,28.2101876735687,True,False,-453139.652447821,906299.304895642,0.0163639995236721,0.0100563372879691,1.62723256540423,0.103687713792386,0.0163639995236721,-0.010861588015703,0.0094742539845375,-1.14643200756806,0.251616445310008,-0.010861588015703,1.0,3024.22979768377,5.0,0.0,arm
arm_cn_feminine,arm,L0,63,255694,721.805166006088,True,False,-480231.59102491,960603.182049821,0.140602920483907,0.0981474011737654,1.43256896058792,0.15198105746166,0.140602920483907,0.0303299475417626,0.0671777001313556,0.451488328455083,0.651637635192486,0.0303299475417626,1.0,,,,arm
arm_cn_feminine,arm,L1,41,255694,420.183447122574,True,False,-480961.645767608,962019.291535217,0.16780992362635,0.0221275279350986,7.58376281880863,3.3567455378625997e-14,0.16780992362635,0.0396419149732597,0.0235090167108601,1.68624300458075,0.0917490039042415,0.0396419149732597,1.0,1460.10948539607,22.0,1.04960659567639e-295,arm
arm_cn_feminine,arm,L2,33,255694,350.73043179512,True,False,-481272.671560613,962625.343121225,0.0488194858215222,0.0206327896841641,2.36611173616487,0.0179760182152916,0.0488194858215222,0.0630705647583812,0.0230627014787185,2.73474314431814,0.0062428969625277,0.0630705647583812,1.0,622.051586008631,8.0,4.2427556022059497e-129,arm
arm_cn_feminine,arm,L3,23,255694,155.705919504166,True,False,-514193.997657045,1028447.99531409,-0.167048843620071,0.0249657908272673,-6.69110963781776,2.2148463959989598e-11,-0.167048843620071,0.401465734913837,0.0300558788929615,13.3573114379248,1.0737268751649899e-40,0.401465734913837,1.0,65842.6521928649,10.0,0.0,arm
arm_cn_feminine,arm,L4,12,255694,119.534403562546,True,False,-514509.501506995,1029057.00301399,-0.136714167403532,0.0154838965751852,-8.82944204255621,1.05199179468397e-18,-0.136714167403532,0.362185886650585,0.0145038297808028,24.9717414037755,1.23997340624938e-137,0.362185886650585,1.0,631.007699900074,11.0,3.24565226697848e-128,arm
arm_cn_feminine,arm,L5,8,255694,110.889845848083,True,False,-514578.487338559,1029186.97467712,-0.161140507696665,0.0149992315114862,-10.7432509174397,6.3758932142898e-27,-0.161140507696665,0.373961090546537,0.0143655084730819,26.0318728882633,2.1584546710978103e-149,0.373961090546537,1.0,137.971663128468,4.0,7.670861639062499e-29,arm
arm_cn_feminine,arm,L6,3,255694,49.7446799278259,True,False,-516744.667895369,1033509.33579074,-0.097896279958952,0.0134156013653494,-7.29719654698476,2.93825428771544e-13,-0.097896279958952,0.343017636075315,0.0126637021408782,27.0866790974229,1.41328379845661e-161,0.343017636075315,1.0,4332.36111362011,5.0,0.0,arm
arm_cn_practical,arm,L0,63,259412,1560.2952208519,False,,,,,,,,,,,,,,1.0,,,,arm
arm_cn_practical,arm,L1,41,259412,2179.85238409042,False,,,,,,,,,,,,,,1.0,,,,arm
arm_cn_practical,arm,L2,33,259412,617.518671274185,False,,,,,,,,,,,,,,1.0,,,,arm
arm_cn_practical,arm,L3,23,259412,588.17963051796,False,,,,,,,,,,,,,,1.0,,,,arm
arm_cn_practical,arm,L4,12,259412,72.4750170707703,True,False,-407377.240097451,814792.480194902,-0.0436136624368,0.0101276701768748,-4.30638653067374,1.65942989310022e-05,-0.0436136624368,0.0538621020078031,0.0091938114615433,5.85851713765308,4.67018427578444e-09,0.0538621020078031,1.0,,,,arm
arm_cn_practical,arm,L5,8,259412,59.090030670166,True,False,-408179.355056507,816388.710113014,-0.0568257399464939,0.0098753873967306,-5.75427957036973,8.701205764079221e-09,-0.0568257399464939,0.0582845574481313,0.0091342862664649,6.38085513721125,1.76101832605171e-10,0.0582845574481313,1.0,1604.22991811181,4.0,0.0,arm
arm_cn_practical,arm,L6,3,259412,29.4640364646912,True,False,-410555.260769873,821130.521539746,-0.0522176656831605,0.0085527293468186,-6.10538034885718,1.02556159831324e-09,-0.0522176656831605,0.0425353166637987,0.0080720772473117,5.269438752951,1.36841519859544e-07,0.0425353166637987,1.0,4751.81142673187,5.0,0.0,arm
arm_cn_strong,arm,L0,63,262306,767.401240587234,False,,,,,,,,,,,,,,1.0,,,,arm
arm_cn_strong,arm,L1,41,262306,476.659333229065,True,False,-412805.017580636,825706.035161272,0.106807992438509,0.0175004762443127,6.10314776280554,1.039996121224e-09,0.106807992438509,-0.0536157906078588,0.0173375790697177,-3.09246120189327,0.0019850418007677,-0.0536157906078588,1.0,,,,arm
arm_cn_strong,arm,L2,33,262306,369.427099466324,True,False,-412976.372556301,826032.745112601,0.0574486089400503,0.015925786211141,3.60726988158748,0.00030943576202,0.0574486089400503,-0.0197368543727987,0.0168061982105019,-1.17437948342567,0.240243059324318,-0.0197368543727987,1.0,342.709951329278,8.0,3.25569621376502e-69,arm
arm_cn_strong,arm,L3,23,262306,221.075003862381,True,False,-419089.61283449,838239.22566898,-0.0256218722685233,0.0158082212848735,-1.62079413026944,0.105061797779139,-0.0256218722685233,0.0492238564692311,0.0171653913031792,2.86762215901914,0.0041356911197355,0.0492238564692311,1.0,12226.4805563787,10.0,0.0,arm
arm_cn_strong,arm,L4,12,262306,122.70800948143,True,False,-419353.762493342,838745.524986684,-0.0234760856003173,0.0103746068613609,-2.26284098414866,0.0236454934586791,-0.0234760856003173,0.0443929348959952,0.0095704570633645,4.63853864053475,3.50881340309054e-06,0.0443929348959952,1.0,528.299317704281,11.0,2.93875090595391e-106,arm
arm_cn_strong,arm,L5,8,262306,88.055846452713,True,False,-419840.229080516,839710.458161033,-0.0316939938679506,0.0100920944551216,-3.14047733192452,0.0016867276029756,-0.0316939938679506,0.0493824383069129,0.0094671092255951,5.21621089713459,1.82620242597736e-07,0.0493824383069129,1.0,972.933174348669,4.0,2.61933118001236e-209,arm
