label,fit,level,n,secs,conv_code,conv_msg,pdHess,max_abs_grad,hess_cond,logLik,AIC,npar,sigma,sem,sem_se,sem_z,sem_p,vis,vis_se,vis_z,vis_p,fam_sd,warnings,int_lrt_chisq,int_lrt_df,int_lrt_p
fam_cn_warm,nointer,L1,381067,771.375440835953,0,relative convergence (4),True,1.03496573745462,65687.7291789097,-633640.544538074,1267375.08907615,47,1.26766251691608,,,,,,,,,1.54135001299354,,,,
fam_cn_warm,L0,L0,381067,1430.93200826645,1,singular convergence (7),True,0.939108189795549,2617748554386.57,-633615.172478712,1267372.34495742,71,1.26750978415529,-0.0053335279480286,0.0072355634024471,-0.737126834687783,0.461045221705529,0.0029479321534656,0.0055171448073082,0.534322055415442,0.593118735458473,1.54135001299354,"Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",,,
fam_cn_young,selected,L0,384275,1278.88191580772,0,relative convergence (4),True,0.602811107477028,61188.6459190184,-607579.293622846,1215300.58724569,71,1.16634068771937,0.0317220424979706,0.0160242205823942,1.97963091776356,0.0477450162387541,-0.0004395860115057,0.0112510429048887,-0.0390706901770629,0.968834028969741,1.53830044790611,,4.18093029176816,2.0,0.123629616633758
fam_cn_young,nointer,L0,384275,1015.19018673897,0,relative convergence (4),True,0.82897890389072,61327.4027052867,-607581.384087992,1215300.76817598,69,1.16634159757432,,,,,,,,,1.53830044790611,,,,
fam_us_charismatic,selected,L0,461680,1636.87220263481,0,relative convergence (4),True,0.420682367384761,1852253324.5319,-830401.374479745,1660944.74895949,71,1.45349980912519,-0.000245423217525,0.006347960896144,-0.0386617406030584,0.969160077164312,-0.0082395753474177,0.0042919104805148,-1.91979198653492,0.0548841794854538,1.9624916090132,,3.65501976525411,2.0,0.160813514137176
fam_us_charismatic,nointer,L0,461680,1537.10602855682,0,relative convergence (4),True,0.598585165743395,29183749648.9751,-830403.201989628,1660944.40397926,69,1.45349628540211,,,,,,,,,1.9624916090132,,,,
fam_us_competent,selected,L1,454525,838.776964664459,0,relative convergence (4),True,0.560550049622391,64648.3134312247,-751581.85514339,1503261.71028678,49,1.25668334993667,-0.0001533368915841,0.0041016072773437,-0.0373845863867011,0.970178362361539,-0.0070744492081913,0.0028761205741172,-2.45971927319591,0.0139045729819161,1.97147276697518,,6.20054830331355,2.0,0.0450368537728599
fam_us_competent,nointer,L1,454525,758.593343019485,0,relative convergence (4),True,1.57713526832741,63557.1464912923,-751584.955417541,1503263.91083508,47,1.25667765674047,,,,,,,,,1.97147276697518,,,,
fam_us_competent,L0,L0,454525,3036.76297974586,0,relative convergence (4),False,0.0593691771070037,,,,71,1.25661692209736,-0.0012417342072037,0.0046549374914522,-0.266756365576097,0.789656752360648,-0.0066282402225281,0.003558362153962,-1.86272221200081,0.0625013591399873,1.97147276697518,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),,,
fam_us_critical,selected,L1,447155,823.525219917297,0,relative convergence (4),True,0.79989254300497,73305.1857743143,-828349.929389061,1656797.85877812,49,1.53482730472547,-0.0010048021886161,0.0043740525459582,-0.229718819803526,0.818310269866303,-0.0053336665732737,0.0030484061943134,-1.74965743844217,0.0801774420333916,1.96126867280381,,3.25935165886767,2.0,0.195993099023777
fam_us_critical,nointer,L1,447155,830.671377182007,0,relative convergence (4),True,0.0451166898816776,73163.4104227188,-828351.55906489,1656797.11812978,47,1.53482930943194,,,,,,,,,1.96126867280381,,,,
fam_us_critical,L0,L0,447155,2844.36367940903,1,singular convergence (7),False,0.162574699198206,,,,71,1.53475264017617,-0.0033875685750183,0.0058496925213931,-0.579101989143792,0.562520357950886,-0.0054235648695107,0.0037765266478898,-1.43612514227625,0.150966734981546,1.96126867280381,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') || Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",,,
fam_us_feminine,selected,L0,433689,1192.88421964645,0,relative convergence (4),True,3.37689548566671,2472425.84048923,-867336.628420209,1734815.25684042,71,1.77570374962212,0.0222858436256052,0.0305807327262628,0.728754403143063,0.466151907747025,0.0088544513730297,0.0343354783229768,0.25788053073676,0.79649911100975,1.96659247279709,,0.650779020274058,2.0,0.722245976716688
fam_us_feminine,nointer,L0,433689,1031.91423368454,0,relative convergence (4),True,0.54087400207116,2420408.04008571,-867336.953809719,1734811.90761944,69,1.77569601861665,,,,,,,,,1.96659247279709,,,,
fam_us_practical,selected,L0,448175,1726.75980567932,0,relative convergence (4),True,0.101208771790578,43105673508.6554,-792863.413641731,1585868.82728346,71,1.41138671687334,0.0039058717350389,0.0043749377934313,0.892783376463848,0.371973190260569,-0.0105733532184856,0.0035968450003575,-2.93961880966084,0.0032861625618876,1.95917206780895,,8.2725237281993,2.0,0.0159824846763658
fam_us_practical,nointer,L0,448175,1488.60233449936,0,relative convergence (4),True,0.380206701204242,216108456236.663,-792867.549903596,1585873.09980719,69,1.41137721156648,,,,,,,,,1.95917206780895,,,,
fam_us_strong,selected,L0,465295,1498.3016834259,0,relative convergence (4),True,0.466012255495238,175660.196427224,-818178.725220713,1636499.45044143,71,1.39418045818667,0.0308318238057546,0.0099763510740543,3.09049105999684,0.0019982582015912,-0.0067894973130062,0.0090016956590845,-0.754246485344599,0.450701229443658,1.9574747977471,,9.1463551511988,2.0,0.0103250987543027
fam_us_strong,nointer,L0,465295,1441.0793299675,0,relative convergence (4),True,0.218348527952108,178083.288963406,-818183.298398289,1636504.59679658,69,1.39417113240959,,,,,,,,,1.9574747977471,,,,
fam_us_traitspace,selected,L0,489741,1437.61265873909,0,relative convergence (4),True,1.16164228644631,80247.6857120695,-993086.327867381,1986314.65573476,71,1.82355083627568,0.0104205557105021,0.0180324925540931,0.577876612411896,0.563347426253228,-0.0031204992453678,0.0169538818823877,-0.184058097550483,0.853967878122589,1.96314049502881,,0.33149068034254,2.0,0.84726197030682
fam_us_traitspace,nointer,L0,489741,1390.8156170845,0,relative convergence (4),True,1.01170771617755,80441.1332964565,-993086.493612721,1986310.98722544,69,1.82355367454035,,,,,,,,,1.96314049502881,,,,
fam_us_warm,selected,L0,464055,1555.37059259415,0,relative convergence (4),True,0.487691435071281,1267283.72052999,-818235.432292118,1636612.86458424,71,1.40189098301785,-0.0038699078330943,0.0082456068619682,-0.469329656128019,0.638834020598377,-0.0085694523060357,0.0053495427480319,-1.60190369713157,0.109176906825984,1.96305279111654,,3.0607250649482,2.0,0.216457180332704
fam_us_warm,nointer,L0,464055,1347.99759602547,0,relative convergence (4),True,0.256158719368992,1485312.04719176,-818236.96265465,1636611.9253093,69,1.40189223622444,,,,,,,,,1.96305279111654,,,,
fam_us_youthful,selected,L0,460530,1454.3541431427,0,relative convergence (4),True,0.275059798515242,4492822.71177339,-810974.276774757,1622090.55354951,71,1.39868635967303,-0.0125074775918443,0.013262510883754,-0.943070109534491,0.345645043374221,0.0073029976265883,0.0101715241531666,0.717984592733314,0.472766786812503,1.96656288202279,,1.20522248814814,2.0,0.547380424396266
fam_us_youthful,nointer,L0,460530,1294.93856716156,0,relative convergence (4),True,0.268654939576548,4691735.41501217,-810974.879386001,1622087.758772,69,1.39868719199355,,,,,,,,,1.96656288202279,,,,
