participant,unique_sem,unique_vis,shared,total_r2
56,0.09701042363575163,0.07502545748089773,0.038010528887616246,0.2100464100042656
57,0.06138090473174873,0.00197768538844878,0.006318294738275276,0.06967688485847279
58,0.059671685225350046,0.030824103569463412,0.019245639004473847,0.1097414277992873
59,0.03989396932412781,0.021317760303825706,0.013075536046318281,0.0742872656742718
60,0.12041975595187127,0.04597434171778303,0.03371121850018799,0.20010531616984228
61,0.09134916050186792,0.028104366401428105,0.023167011541822213,0.14262053844511824
62,0.05618938380926852,0.007211874473182389,0.009750284475942061,0.07315154275839297
63,0.07887975830718719,0.0350402150317104,0.02369452458004362,0.1376144979189412
64,0.03239004822805336,0.010544707094448547,0.008428199528975222,0.05136295485147713
65,0.04118709521298103,0.03916390883063281,0.01787239416575781,0.09822339820937165
66,0.021714195443957585,0.018108880235334412,0.008829401177914753,0.04865247685720675
67,0.08566670437441437,0.04550651669952366,0.027998890728755388,0.15917211180269342
68,0.09554471316862678,0.05368239990197998,0.03207344993681993,0.1813005630074267
69,0.07674864828432093,0.03209448385600844,0.022412791231372964,0.13125592337170233
70,0.05431888329570045,0.003501752378799128,0.007172848497464246,0.06499348417196382
71,0.022258457533169684,0.04108944306327367,0.013555172034448781,0.07690307263089213
72,0.029439641324722765,0.046956165926070215,0.01661410300506516,0.09300991025585814
73,0.008696920108355322,0.007787010627546942,0.0036627573769882904,0.020146688112890554
74,0.051005301621328436,0.03591271504565663,0.01908973870230113,0.1060077553692862
75,0.089706915450535,0.07399012654422488,0.036278391495250695,0.19997543349001057
76,0.08757803884692716,0.05023686816706974,0.02969187926800243,0.16750678628199933
77,0.01229178533375519,0.009955248316962928,0.004926553365388386,0.027173587016106504
78,0.04131643878838254,0.010123789334482991,0.009461571866970941,0.06090179998983647
79,0.0627268777885146,0.027092989505872467,0.018596473310770856,0.10841634060515792
80,0.029082808549442007,0.028722715477477734,0.01286086404160769,0.07066638806852743
81,0.001881404881434512,0.0028252438790610235,0.0010291799683339597,0.005735828728829495
82,0.0029914672133261044,0.005095395884841425,0.0017468168228051972,0.009833679920972727
83,0.07102252028873768,0.027473577441864516,0.020003654063376786,0.11849975179397898
84,0.05808395439676528,0.06014747455070979,0.02630176558450459,0.14453319453197966
85,0.03715252284211168,0.03774567358253311,0.016663559297479646,0.09156175572212444
86,0.05667175482626541,0.04836397610704768,0.02330732130389268,0.12834305223720577
87,0.060092843817592834,0.0713546026551709,0.029154594999713734,0.16060204147247747
88,0.04922002709613893,0.03537874321002965,0.01860769074963209,0.10320646105580067
89,0.058172438917580505,0.04779989992296696,0.02348186468974356,0.12945420353029102
90,0.05883366824831138,0.023015441144546234,0.016656956750180307,0.09850606614303792
91,0.05335883419763876,0.015467321014113078,0.013172954924195235,0.08199911013594707
92,0.0093362644326912,0.035362236403684744,0.008371603404523698,0.05307010424089964
93,0.08376268484659644,0.026550184588990722,0.021532405519197106,0.13184527495478426
94,0.08392855055931714,0.04424389784107241,0.02733138043032246,0.155503828830712
95,0.03356028708356418,0.04556007494186709,0.017431103499528255,0.09655146552495952
96,0.01236156866038185,0.01461117428135883,0.005983441034122627,0.03295618397586331
97,0.004348323127092435,0.004594670766467357,0.0019890761821250713,0.010932070075684863
98,0.0574119137646214,0.0731198012726254,0.028863278991177688,0.1593949940284245
99,0.02839776302991648,0.05328704134177287,0.017442813491977516,0.09912761786366686
100,0.0019813600807502274,0.01112823541097907,-0.0013186315754623035,0.011790963916266994
