dataset,variant,trait,target,n_pairs_dropped,dfbeta_sem,dfbeta_vis,beta_sem_full,beta_vis_full,z_sem,z_vis
us,midpoint,competent,9,11448,0.0009571327231209063,0.0027872489369588707,0.025101663955131734,-0.022857285360080786,0.31079403415676277,1.278168013629597
us,midpoint,competent,10,12793,0.0004857409178543326,0.000467249381412696,0.025101663955131734,-0.022857285360080786,0.15269419146645513,0.21733685035649264
us,midpoint,competent,11,12394,0.004356866389483238,-0.002977371022122137,0.025101663955131734,-0.022857285360080786,1.4510288703072782,-1.3577327055753245
us,midpoint,competent,12,12138,-0.0009608262900831083,0.0008135174182124089,0.025101663955131734,-0.022857285360080786,-0.33246920225553606,0.37566960667292915
us,midpoint,competent,13,12376,-0.0001165998346144767,-0.004866250420859485,0.025101663955131734,-0.022857285360080786,-0.049324547822886956,-2.221432064937233
us,midpoint,competent,14,10675,0.0011388863965671736,-0.0013727422820206878,0.025101663955131734,-0.022857285360080786,0.3717523004210448,-0.6240083525193455
us,midpoint,competent,15,8334,0.0026898213481026563,-0.004718770678307598,0.025101663955131734,-0.022857285360080786,0.8919195352375192,-2.1539962300998834
us,midpoint,competent,16,11710,0.0006946347316111393,-0.0010969767756260629,0.025101663955131734,-0.022857285360080786,0.22275497471501668,-0.4979132236475054
us,midpoint,competent,17,10214,-0.0013060623626799175,-0.0012589456327913168,0.025101663955131734,-0.022857285360080786,-0.4482577419771992,-0.5719742771291219
us,midpoint,competent,18,9332,0.0014910189573852893,-0.0005813874488688822,0.025101663955131734,-0.022857285360080786,0.4898538495983719,-0.26215747793304006
us,midpoint,competent,19,11545,0.0059071045172559185,0.0014104807272116195,0.025101663955131734,-0.022857285360080786,1.9709623977787138,0.6486340044475262
us,midpoint,competent,20,12577,-0.0030730895440052586,0.000842938690569877,0.025101663955131734,-0.022857285360080786,-1.0409000329034304,0.3891226276036164
us,midpoint,competent,21,12700,0.00178229947747513,-0.00045342262595170907,0.025101663955131734,-0.022857285360080786,0.5875462657380894,-0.2036449357091673
us,midpoint,competent,22,12783,0.0022548615412889585,-0.0011583647529248703,0.025101663955131734,-0.022857285360080786,0.7460386008098107,-0.5259831770288308
us,midpoint,competent,23,7823,-0.0019799599128488554,0.0039078228273996575,0.025101663955131734,-0.022857285360080786,-0.6742758769569583,1.7905559151220671
us,midpoint,competent,24,12861,0.002188716943688506,-0.002845908102248478,0.025101663955131734,-0.022857285360080786,0.7238543999844876,-1.2976206413796827
us,midpoint,competent,25,11844,0.0014540596351963267,0.0021747569544147242,0.025101663955131734,-0.022857285360080786,0.47745808251304683,0.9981030537961058
us,midpoint,competent,26,11998,-0.0013951599894692635,0.00043492599158757167,0.025101663955131734,-0.022857285360080786,-0.47814014685165274,0.20255682199521813
us,midpoint,competent,27,9306,0.001952832134026191,-0.0007710927502999586,0.025101663955131734,-0.022857285360080786,0.6447411212130087,-0.3489011564458691
us,midpoint,competent,28,11869,0.0033975742317754916,-0.0008375076925438256,0.025101663955131734,-0.022857285360080786,1.1292923922158231,-0.37926971417720495
us,midpoint,competent,29,7341,0.001827946228165761,-0.00366812727854747,0.025101663955131734,-0.022857285360080786,0.6028557047713611,-1.673584388085389
us,midpoint,competent,30,11234,-0.00023224829067340635,-0.0021877220143109617,0.025101663955131734,-0.022857285360080786,-0.08811182097022999,-0.9966618279834649
us,midpoint,competent,31,11892,-0.00596334155286957,0.0004940945302401405,0.025101663955131734,-0.022857285360080786,-2.0102600914186337,0.22961192618173484
us,midpoint,competent,32,12639,-0.004066627218393095,0.0009857754217235046,0.025101663955131734,-0.022857285360080786,-1.3741220963179244,0.45443542273135434
us,midpoint,competent,33,12843,-0.003017415876638452,-0.0007443561052990523,0.025101663955131734,-0.022857285360080786,-1.0222276717076155,-0.33667569452691015
us,midpoint,competent,34,12556,0.0027284407050922194,6.327056578193935e-05,0.025101663955131734,-0.022857285360080786,0.9048720604970493,0.032615557674013466
us,midpoint,competent,35,12718,0.0024705210858039436,0.0013620444200875825,0.025101663955131734,-0.022857285360080786,0.8183685388391773,0.6264862657084345
us,midpoint,competent,36,10071,0.0037276829457440486,-0.001862304926761954,0.025101663955131734,-0.022857285360080786,1.2400073753064071,-0.8478632703680996
us,midpoint,competent,37,12708,0.0028833594647114068,0.002335584923163842,0.025101663955131734,-0.022857285360080786,0.9568301795223056,1.0716424304598275
us,midpoint,competent,38,12703,-0.002462775378178253,-0.0005192707609558214,0.025101663955131734,-0.022857285360080786,-0.8362070948190483,-0.2337543180531359
us,midpoint,competent,39,12299,0.001089027479255874,0.0027727111917089896,0.025101663955131734,-0.022857285360080786,0.35503014510235437,1.2715205583885252
us,midpoint,competent,40,8880,-0.0012772059960469706,0.002309825315411993,0.025101663955131734,-0.022857285360080786,-0.4385796207745983,1.0598637236098516
us,midpoint,competent,41,11348,0.001323287088473353,0.001582133168367559,0.025101663955131734,-0.022857285360080786,0.43359834877537357,0.7271229241521916
us,midpoint,competent,42,12735,-0.0018650414972819704,0.0004871939036659688,0.025101663955131734,-0.022857285360080786,-0.6357334516955147,0.2264565808720809
us,midpoint,competent,43,11379,-0.0003571930152783606,-0.00017585448430528297,0.025101663955131734,-0.022857285360080786,-0.13001696459880085,-0.0767255430366925
us,midpoint,competent,44,12411,-0.005514475770028986,0.0016574515254929034,0.025101663955131734,-0.022857285360080786,-1.859715239210126,0.7615626119590664
us,midpoint,competent,45,12710,-0.00034698980799489215,-0.0006848476284882915,0.025101663955131734,-0.022857285360080786,-0.12659491642479676,-0.30946515195208274
us,midpoint,competent,46,12376,0.00022412583339422726,0.001872446497296086,0.025101663955131734,-0.022857285360080786,0.06495124974271381,0.8598701161525942
us,midpoint,competent,47,11910,0.003247199848431262,0.0020401980945665005,0.025101663955131734,-0.022857285360080786,1.0788584090923143,0.9365753558789874
us,midpoint,competent,48,12910,-0.003674807744791002,0.0034041653947850907,0.025101663955131734,-0.022857285360080786,-1.242709974920398,1.5602560864628878
us,midpoint,competent,49,8397,-0.0008248168603749856,-0.004020797401119776,0.025101663955131734,-0.022857285360080786,-0.2868530731650174,-1.8348445294874296
us,midpoint,practical,0,12701,-0.002262501773215582,0.0007335366354474099,0.02818696979166528,-0.03863187877488006,-0.7004857940877531,0.2713808046377191
us,midpoint,practical,1,12213,-0.008833654425987512,0.0018823524730566046,0.02818696979166528,-0.03863187877488006,-2.7132268715913037,0.6705361702807053
us,midpoint,practical,2,10868,-0.008518958288247572,-0.0022075882713759043,0.02818696979166528,-0.03863187877488006,-2.6168355873173486,-0.7505112594792753
us,midpoint,practical,3,12602,0.004484985080519661,-0.0029870066968074455,0.02818696979166528,-0.03863187877488006,1.3662663692026888,-1.0213197184220575
us,midpoint,practical,4,8437,-0.0027937165968043645,0.0009323206658167701,0.02818696979166528,-0.03863187877488006,-0.8631966536452345,0.3404481953617146
us,midpoint,practical,5,8748,0.0008919761283675103,0.0028852961816587114,0.02818696979166528,-0.03863187877488006,0.26572935660049185,1.0190083532195615
us,midpoint,practical,6,12623,-0.00028742541470710634,-0.0012654170383763902,0.02818696979166528,-0.03863187877488006,-0.09552080118057774,-0.42315443631006255
us,midpoint,practical,7,12752,0.0010200109387105208,-0.0011664441138385176,0.02818696979166528,-0.03863187877488006,0.3049463609443259,-0.38876635373898183
us,midpoint,practical,8,12247,0.0007259610866127003,0.0018235262738423227,0.02818696979166528,-0.03863187877488006,0.2148790245993901,0.6500970430611243
us,midpoint,practical,9,11430,0.0021533588364607698,0.0006469105354593788,0.02818696979166528,-0.03863187877488006,0.6520903080480295,0.2412826187640743
us,midpoint,practical,10,12743,-0.0011053804475779395,0.001821611984334899,0.02818696979166528,-0.03863187877488006,-0.34606005680347296,0.6494319243334156
us,midpoint,practical,11,12338,0.0010443669876521282,-0.0008311114621046833,0.02818696979166528,-0.03863187877488006,0.3124066076895877,-0.2722552273835111
us,midpoint,practical,12,11714,0.00022282927655357596,0.00012656862108079148,0.02818696979166528,-0.03863187877488006,0.06076997935029913,0.06049013637159958
us,midpoint,practical,13,12279,-0.0002141356347410521,-0.0029931682571207804,0.02818696979166528,-0.03863187877488006,-0.07307217481414444,-1.0234605488139146
us,midpoint,practical,14,10615,-0.00851422976354705,0.0016482695167204797,0.02818696979166528,-0.03863187877488006,-2.6153872423459807,0.5892041891499559
us,midpoint,practical,15,7841,0.0033905055589612404,-0.011181716891416504,0.02818696979166528,-0.03863187877488006,1.0310277880995993,-3.8685668027543025
us,midpoint,practical,16,11624,0.0007077262987150411,0.0013651376296949236,0.02818696979166528,-0.03863187877488006,0.20929371733587657,0.4908301868154584
us,midpoint,practical,17,10201,0.0046107724889595005,0.002551783605343208,0.02818696979166528,-0.03863187877488006,1.4047949953627863,0.903129610963716
us,midpoint,practical,18,9180,0.005238141985812635,-0.00018984689677917915,0.02818696979166528,-0.03863187877488006,1.5969579877346611,-0.04944824329885542
us,midpoint,practical,19,11396,0.00042378477456820815,9.587051648662914e-07,0.02818696979166528,-0.03863187877488006,0.12232255725816647,0.016847047310303207
us,midpoint,practical,20,12498,-0.00040445079618178087,0.0020940010895776073,0.02818696979166528,-0.03863187877488006,-0.13136562245485464,0.74407335365649
