dataset,variant,trait,target,n_pairs_dropped,dfbeta_sem,dfbeta_vis,beta_sem_full,beta_vis_full,z_sem,z_vis
cn,midpoint,competent,5,9775,0.0048829399652391275,0.0033131153470271346,-0.07420889536675558,0.01894705880010612,1.2498657985932762,0.9128235245097197
cn,midpoint,competent,6,8030,0.009800674828114878,-0.0011204756460060465,-0.07420889536675558,0.01894705880010612,2.4905590104268263,-0.3102401207114589
cn,midpoint,competent,7,10129,0.003681055485471818,-7.848121872862379e-05,-0.07420889536675558,0.01894705880010612,0.946642880515215,-0.022792427740078575
cn,midpoint,competent,8,10190,-0.0027749748452486483,0.00306704206849933,-0.07420889536675558,0.01894705880010612,-0.6821462327783805,0.8449410153877308
cn,midpoint,competent,9,9451,-0.0043338302547821506,0.0013795607211636064,-0.07420889536675558,0.01894705880010612,-1.0754291930775541,0.37942737392681897
cn,midpoint,competent,10,11330,-0.00035223419464135153,0.0007417788795016714,-0.07420889536675558,0.01894705880010612,-0.070914036847443,0.2034869713626971
cn,midpoint,competent,11,11101,0.004458423651426721,-0.0016709399442397764,-0.07420889536675558,0.01894705880010612,1.14276476050444,-0.4620928451102124
cn,midpoint,competent,12,10592,0.00024101657174253888,0.001989620631799905,-0.07420889536675558,0.01894705880010612,0.07875694365294289,0.5477203218506587
cn,midpoint,competent,13,7111,0.009669572493597733,-0.00412543140144532,-0.07420889536675558,0.01894705880010612,2.457483258881361,-1.1391961849382009
cn,midpoint,competent,14,10763,-0.003887567231036282,0.0022088249484738184,-0.07420889536675558,0.01894705880010612,-0.9628416868999559,0.6081906789541218
cn,midpoint,competent,15,9407,-0.000310096282927802,-0.0006434477852614896,-0.07420889536675558,0.01894705880010612,-0.06028308123848803,-0.1786457911598398
cn,midpoint,competent,16,6708,-0.004536055601848943,-0.007506928934290211,-0.07420889536675558,0.01894705880010612,-1.1264485388459704,-2.0720261878244735
cn,midpoint,competent,17,7262,0.0005616133659375883,0.0007936022532196371,-0.07420889536675558,0.01894705880010612,0.15964017086718837,0.21778312192479302
cn,midpoint,competent,18,11381,-0.005799110444486583,0.005024614227563397,-0.07420889536675558,0.01894705880010612,-1.4451041014432673,1.3849627143695773
cn,midpoint,competent,19,11364,-0.004676530612098315,-0.0012210001924074787,-0.07420889536675558,0.01894705880010612,-1.1618889187176755,-0.3379711221387755
cn,midpoint,competent,20,10943,-0.00025092072318466663,-0.0036795880523105354,-0.07420889536675558,0.01894705880010612,-0.04535370474159702,-1.0162045078423052
cn,midpoint,competent,21,10893,-0.0006355421542954265,-0.001959484416813581,-0.07420889536675558,0.01894705880010612,-0.14238968004543318,-0.5416915845945469
cn,midpoint,competent,22,10435,-0.0010628145248106624,-0.0004262957866416131,-0.07420889536675558,0.01894705880010612,-0.2501860424935476,-0.11874159264075397
cn,midpoint,competent,23,11134,-0.007923829750360087,0.008916242505700216,-0.07420889536675558,0.01894705880010612,-1.9811486205874778,2.4585189073479348
cn,midpoint,competent,24,10818,-0.003927235068027474,0.0008268046217514216,-0.07420889536675558,0.01894705880010612,-0.9728494684203918,0.22694242641414997
cn,midpoint,competent,25,10658,-0.0036636117915120475,-0.005449352515913008,-0.07420889536675558,0.01894705880010612,-0.9063400654586502,-1.5044170153644993
cn,midpoint,competent,26,8456,0.005921816053431811,0.0003358835008814877,-0.07420889536675558,0.01894705880010612,1.5119633997240391,0.0915154606541727
cn,midpoint,competent,27,10898,-0.004150305743751331,0.004657246375152534,-0.07420889536675558,0.01894705880010612,-1.0291278731833258,1.2836195220424669
cn,midpoint,competent,28,9801,-0.0029086191562801844,0.004624078260616575,-0.07420889536675558,0.01894705880010612,-0.715863298484529,1.2744696669626436
cn,midpoint,competent,29,11168,0.0035125851092125543,-0.0015635843992193726,-0.07420889536675558,0.01894705880010612,0.9041395618028101,-0.4324774240139303
cn,midpoint,competent,30,8594,-0.005199389534882068,-0.001999564523989132,-0.07420889536675558,0.01894705880010612,-1.2938007712946686,-0.5527482025956243
cn,midpoint,competent,31,10829,0.0025285469778588837,-0.0035967368697479296,-0.07420889536675558,0.01894705880010612,0.6558770051992746,-0.9933489333170193
cn,midpoint,competent,32,9851,0.0012668720886315488,-0.0009189293694940766,-0.07420889536675558,0.01894705880010612,0.33756959045389556,-0.25464096327478175
cn,midpoint,competent,33,11043,0.0013474116553453125,-0.0003167496687666374,-0.07420889536675558,0.01894705880010612,0.3578888830737805,-0.0885218735781404
cn,midpoint,competent,34,10954,-0.0019420984696466442,-0.0023772459997340387,-0.07420889536675558,0.01894705880010612,-0.47202021046946996,-0.6569365418409314
